Deal Name,Company name,Address,google_places_id,"Macro Geo (NYC, SF, CHS, DC, LA, NASH, DEN)",Error?,verified_place_id,confidence_score,match_status,notes,processed
82 Queen French Quarter,82 Queen,82 Queen St,ChIJDZ7DvBF6_ogRhOZ4IH9ehhE,CHS,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the HubSpot record. Cannot validate the existing Google Places ID ChIJDZ7DvBF6_ogRhOZ4IH9ehhE without a corresponding search result. | 82 Queen French Quarter appears to be a legitimate restaurant name with a specific address (82 Queen St). The name suggests it's likely located in a French Quarter area, possibly New Orleans or Charleston. The existing Google Places ID should be verified independently since no search result was returned to confirm its accuracy.",True
Crown Shy Financial District,Crown Shy,70 Pine Street Ground Floor,ChIJ__9LNBZawokREnkOiVx7ydc,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the HubSpot record. Cannot validate the existing Google Places ID ChIJ__9LNBZawokREnkOiVx7ydc without a corresponding search result. | Crown Shy is a known upscale restaurant located in the Financial District of NYC at 70 Pine Street. The lack of Google Places search results could indicate an API issue, search parameter problem, or the restaurant may have closed/changed. The existing Places ID should be verified independently since no matching result was returned to validate against.",True
Falansai Bushwick,Falansai,112 Harrison Place,ChIJc11gFQJcwokRcOejfRbBPpo,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the HubSpot record. Cannot validate the existing Google Places ID (ChIJc11gFQJcwokRcOejfRbBPpo) without a corresponding search result. | Falansai Bushwick appears to be a legitimate Vietnamese restaurant in Brooklyn, NY. The address '112 Harrison Place' seems plausible for the Bushwick area. However, without a Google Places search result, I cannot verify if the existing place ID is correct or if the restaurant is still active/findable in Google's database. The restaurant may have closed, moved, or the search parameters may need adjustment.",True
Bobwhite Counter Alphabet City,Bobwhite Counter (East Village),124 E 14th St,ChIJhb1Sx3lZwokR7-zaifOkCwo,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the HubSpot record. Cannot validate the existing Google Places ID ChIJhb1Sx3lZwokR7-zaifOkCwo without a corresponding search result. | Bobwhite Counter appears to be a legitimate restaurant concept (known for fried chicken). The address 124 E 14th St in NYC (Alphabet City area) seems plausible. However, without a Google Places search result, I cannot verify if this specific location exists or if the provided Place ID is accurate. The restaurant may have closed, moved, or the search may have failed to find it.",True
Blanca Bushwick,Blanca,261 Moore St,ChIJrSjk6QBcwokRJ12Xetu0rX4,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the original record. Cannot validate the existing Google Places ID (ChIJrSjk6QBcwokRJ12Xetu0rX4) without a search result. | Blanca is a known high-end restaurant in Bushwick, Brooklyn. The address 261 Moore St appears legitimate for this area. The existing Google Places ID should be verified independently since no search result was returned. This could indicate the restaurant may have closed, changed names, or there may be an issue with the search query.",True
White Horse Tavern West Village,White Horse Tavern,567 Hudson Street,ChIJGfAs0ZRZwokR584EB4uBkyU,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the original record. Cannot validate the existing Google Places ID ChIJGfAs0ZRZwokR584EB4uBkyU without a corresponding search result. | White Horse Tavern is a well-known historic restaurant/bar in NYC's West Village. The address 567 Hudson Street appears legitimate for this area. The existing Google Places ID should be verified through a direct lookup rather than search, as the establishment may have specific naming variations or the search parameters may not have captured it properly.",True
Davey's Ice Cream East Village,Davey’s Ice Cream (EV),74 Meserole Ave,ChIJBxhQcdtZwokRZZDSUen2K1w,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the HubSpot record. Cannot validate the existing Google Places ID ChIJBxhQcdtZwokRZZDSUen2K1w without a corresponding search result. | Davey's Ice Cream appears to be a legitimate ice cream establishment based on the name. The address '74 Meserole Ave' suggests this is in Brooklyn, NY (Meserole Ave runs through Greenpoint/Williamsburg area), though the name indicates 'East Village' which is in Manhattan. This geographic discrepancy should be investigated. The existing Google Places ID should be verified independently since no search result was returned.",True
Madame Vo East Village,Madame Vo,212 E 10th St,ChIJqRaETJxZwokRik6wrAXTOd4,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the HubSpot record. Cannot validate the existing Google Places ID ChIJqRaETJxZwokRik6wrAXTOd4 without a search result. | Madame Vo East Village appears to be a legitimate Vietnamese restaurant based on the name and East Village location (212 E 10th St, NYC). The lack of Google Places search results could indicate the restaurant may have closed, changed names, or there may be an issue with the search query. The existing Places ID should be verified independently.",True
Benjamin Prime Midtown East,Benjamin Prime,23 E 40th St,ChIJOdx0HQFZwokRzHFDS_GXQxk,NYC,,,0.0,PLACE_ID_NOT_FOUND,"No Google Places result was found to compare against the HubSpot record. Cannot validate the existing Google Places ID ChIJOdx0HQFZwokRzHFDS_GXQxk without a corresponding search result. | Benjamin Prime appears to be a legitimate steakhouse/restaurant name, and the address (23 E 40th St) is in Midtown East Manhattan, which is consistent with the name. The existing Google Places ID should be verified independently since no search result was returned to confirm its accuracy.",True
Empellón Taqueria & Bar Greenwich Village,Empellon Taqueria West Village,,ChIJS3YtZJRZwokR15ezAH-2Sec,NYC,,,0.0,,,False
KYU  Noho,KYU NYC,251 Northwest 25th Street,ChIJRUXf9uBZwokR9WS3NBhSjYk,NYC,,,0.0,,,False
